===== Запуск 2026-08-18 16:39:37 =====
2026-08-18 16:38:45 — Батч 1 — https://---test---sib.in.ua/price_merge/0_merged_file.xml — файл не завантажився (сервер не відповів)

===== Запуск 2026-08-18 16:42:16 =====
2026-08-18 16:41:25 — Батч 1 — https://---test---sib.in.ua/price_merge/0_merged_file.xml — файл не завантажився (сервер не відповів)

===== Запуск 2026-08-21 21:43:17 =====
2026-08-21 21:42:17 — Батч 3 — https://sib.in.ua/price_merge/0_merged_file.xml — XML пошкоджений: StartTag: invalid element name; error parsing attribute name; attributes construct error; Couldn't find end of Start Tag iparr.length line 47; xmlParseEntityRef: no name; xmlParseEntityRef: no name; StartTag: invalid element name; xmlParseEntityRef: no name; xmlParseEntityRef: no name; Specification mandates value for attribute async; attributes construct error; Couldn't find end of Start Tag script line 92; Opening and ending tag mismatch: link line 24 and script; Opening and ending tag mismatch: meta line 21 and head; Opening and ending tag mismatch: meta line 20 and html; Premature end of data in tag meta line 4; 
2026-08-21 21:42:20 — Батч 3 — https://sib.in.ua/category_id_mapper/10-sevte_updated.xml — XML пошкоджений: StartTag: invalid element name; error parsing attribute name; attributes construct error; Couldn't find end of Start Tag iparr.length line 47; xmlParseEntityRef: no name; xmlParseEntityRef: no name; StartTag: invalid element name; xmlParseEntityRef: no name; xmlParseEntityRef: no name; Specification mandates value for attribute async; attributes construct error; Couldn't find end of Start Tag script line 92; Opening and ending tag mismatch: link line 24 and script; Opening and ending tag mismatch: meta line 21 and head; Opening and ending tag mismatch: meta line 20 and html; Premature end of data in tag meta line 4; 
2026-08-21 21:42:21 — Батч 3 — https://sib.in.ua/price_update3/17-babyav_filtered.xml — XML пошкоджений: StartTag: invalid element name; error parsing attribute name; attributes construct error; Couldn't find end of Start Tag iparr.length line 47; xmlParseEntityRef: no name; xmlParseEntityRef: no name; StartTag: invalid element name; xmlParseEntityRef: no name; xmlParseEntityRef: no name; Specification mandates value for attribute async; attributes construct error; Couldn't find end of Start Tag script line 92; Opening and ending tag mismatch: link line 24 and script; Opening and ending tag mismatch: meta line 21 and head; Opening and ending tag mismatch: meta line 20 and html; Premature end of data in tag meta line 4; 
2026-08-21 21:42:24 — Батч 3 — https://sib.in.ua/price_update/price_vil_prom.xml — XML пошкоджений: StartTag: invalid element name; error parsing attribute name; attributes construct error; Couldn't find end of Start Tag iparr.length line 47; xmlParseEntityRef: no name; xmlParseEntityRef: no name; StartTag: invalid element name; xmlParseEntityRef: no name; xmlParseEntityRef: no name; Specification mandates value for attribute async; attributes construct error; Couldn't find end of Start Tag script line 92; Opening and ending tag mismatch: link line 24 and script; Opening and ending tag mismatch: meta line 21 and head; Opening and ending tag mismatch: meta line 20 and html; Premature end of data in tag meta line 4; 

===== Запуск 2026-08-21 23:43:17 =====
2026-08-21 23:42:14 — Батч 3 — https://sib.in.ua/price_merge/0_merged_file.xml — XML пошкоджений: StartTag: invalid element name; error parsing attribute name; attributes construct error; Couldn't find end of Start Tag iparr.length line 47; xmlParseEntityRef: no name; xmlParseEntityRef: no name; StartTag: invalid element name; xmlParseEntityRef: no name; xmlParseEntityRef: no name; Specification mandates value for attribute async; attributes construct error; Couldn't find end of Start Tag script line 92; Opening and ending tag mismatch: link line 24 and script; Opening and ending tag mismatch: meta line 21 and head; Opening and ending tag mismatch: meta line 20 and html; Premature end of data in tag meta line 4; 
2026-08-21 23:42:15 — Батч 3 — https://sib.in.ua/category_id_mapper/10-sevte_updated.xml — XML пошкоджений: StartTag: invalid element name; error parsing attribute name; attributes construct error; Couldn't find end of Start Tag iparr.length line 47; xmlParseEntityRef: no name; xmlParseEntityRef: no name; StartTag: invalid element name; xmlParseEntityRef: no name; xmlParseEntityRef: no name; Specification mandates value for attribute async; attributes construct error; Couldn't find end of Start Tag script line 92; Opening and ending tag mismatch: link line 24 and script; Opening and ending tag mismatch: meta line 21 and head; Opening and ending tag mismatch: meta line 20 and html; Premature end of data in tag meta line 4; 
2026-08-21 23:42:17 — Батч 3 — https://sib.in.ua/price_update3/17-babyav_filtered.xml — XML пошкоджений: StartTag: invalid element name; error parsing attribute name; attributes construct error; Couldn't find end of Start Tag iparr.length line 47; xmlParseEntityRef: no name; xmlParseEntityRef: no name; StartTag: invalid element name; xmlParseEntityRef: no name; xmlParseEntityRef: no name; Specification mandates value for attribute async; attributes construct error; Couldn't find end of Start Tag script line 92; Opening and ending tag mismatch: link line 24 and script; Opening and ending tag mismatch: meta line 21 and head; Opening and ending tag mismatch: meta line 20 and html; Premature end of data in tag meta line 4; 
2026-08-21 23:42:18 — Батч 3 — https://sib.in.ua/price_update/price_vil_prom.xml — XML пошкоджений: StartTag: invalid element name; error parsing attribute name; attributes construct error; Couldn't find end of Start Tag iparr.length line 47; xmlParseEntityRef: no name; xmlParseEntityRef: no name; StartTag: invalid element name; xmlParseEntityRef: no name; xmlParseEntityRef: no name; Specification mandates value for attribute async; attributes construct error; Couldn't find end of Start Tag script line 92; Opening and ending tag mismatch: link line 24 and script; Opening and ending tag mismatch: meta line 21 and head; Opening and ending tag mismatch: meta line 20 and html; Premature end of data in tag meta line 4; 

